P(=O)(O)(O)OP(=O)(O)O.O([H])[H]	R00004	P(=O)(O)(O)O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R10342	P(=O)(O)(O)OP(=O)(O)O.C12N=CN=C(N)C=1N=CN2[C@H]1[C@H](O)[C@H]2[C@@H](COP(O[C@@H]3[C@@H](COP(=O)(O)O2)O[C@H]([C@@H]3O)N2C=NC3C(N)=NC=NC2=3)(=O)O)O1
C(=O)(O)C.C(CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O	R10343	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3C(N)=NC=NC=32)[C@H](O)[C@@H]1OP(=O)(O)O)(O)=O.OC(=O)CCC(=O)O
O([H])[H].C12C(=O)NC(N)=NC=1NCC([C@H](O)[C@@H]1OP(=O)(O)OC1)=N2	R10344	C12C(=O)NC(N)=NC=1NCC([C@H](O)[C@H](O)COP(=O)(O)O)=N2
O([H])[H].C12C(=O)NC(N)=NC=1NCC([C@H](O)[C@@H]1OP(=O)(O)OC1)=N2	R10345	C12C(=O)NC(N)=NC=1NCC([C@H](O)[C@H](OP(O)(=O)O)CO)=N2
O([H])[H].C(CCCNCCCN)NC(=N)N	R10347	C(=O)(N)N.C(CCCN)NCCCN
O([H])[H].N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1)O	R10348	P(=O)(O)(O)OP(=O)(O)O.C([H])(=O)O.C12C(=O)NC(N)=NC=1NCC([C@H](O)[C@@H]1OP(=O)(O)OC1)=N2
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12=CC=CC=C1NC=C2C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C	R10350	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12=CC=CC=C1NC=C2C/C=C(\C)/CC/C=C(\C)/CC[C@@H]1O[C@@]1(C)CC/C=C(\C)/C
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@](C)(CC/C=C(/C)\C)[C@@]([H])(O)CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10351	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@](C)(CC[C@H]6OC6(C)C)[C@](O)([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@]6(C=O)CC[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10356	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C([H])(=O)O.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=CC[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=CC[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10357	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=C[C@@H](O)[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=C[C@@H](O)[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10358	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=CC(=O)[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=CC(=O)[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10359	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5(O)C6=CC(=O)[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])C6=CC(=O)[C@H]7C(C)(C)O[C@@]6(O7)CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10362	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5(O)C6=CC(=O)[C@H]7C(C)(C)O[C@@]6(O7)CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
P(=O)(O)(OC/C=C(\C)/C)OP(=O)(O)O.C1C=C2C3C[C@]4([H])CC[C@@]5(O)C6=CC(=O)[C@H]7C(C)(C)O[C@@]6(O7)CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10365	P(=O)(O)(O)OP(=O)(O)O.C1C(C(C)(C)C=C)=C2C3C[C@]4([H])CC[C@@]5(O)C6=CC(=O)[C@H]7C(C)(C)O[C@@]6(O7)CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)O)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10366	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)O)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12C(=O)[C@@]3([H])C(C)(C)OC(C)(C)[C@]3([H])CC1=C1C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)OC/C=C(\C)/C)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC1=CC=2	R10368	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12C(=O)[C@@]3([H])C(C)(C)OC(C)(C)[C@]3([H])CC1=C1C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@@H]6O[C@H](/C=C(\C)/C)OC(C)(C)[C@H]6O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC1=CC=2
P(=O)(O)(OC/C=C(\C)/C)OP(=O)(O)O.C12C(=O)[C@@]3([H])C(C)(C)OC(C)(C)[C@]3([H])CC1=C1C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)O)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC1=CC=2	R10370	P(=O)(O)(O)OP(=O)(O)O.C12C(=O)[C@@]3([H])C(C)(C)OC(C)(C)[C@]3([H])CC1=C1C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)OC/C=C(\C)/C)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC1=CC=2
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@]6(C)CC[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10373	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5([H])[C@]6(C)[C@H](O)C[C@@H](C(C)(C)O)O[C@@]6([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
P(=O)(O)(OC/C=C(\C)/C)OP(=O)(O)O.C1C=C2C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)O)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10380	P(=O)(O)(O)OP(=O)(O)O.C1C=C2C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)OC/C=C(\C)/C)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[H+].O=O.[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@H](O)[C@@H](C(C)(C)OC/C=C(\C)/C)O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1	R10381	O([H])[H].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1C=C2C3C[C@]4([H])CC[C@@]5(O)[C@@]67O[C@@H]6[C@@H]6O[C@H](/C=C(\C)/C)OC(C)(C)[C@H]6O[C@@]7([H])CC[C@]5(C)[C@@]4(C)C=3NC2=CC=1
[C@@](O)(C(=O)O)(CC(=O)O)CCCC(=O)O	R10391	[C@@H](C(=O)O)([C@@H](O)C(O)=O)CCCC(=O)O
[C@@](O)(C(=O)O)(CC(=O)O)CCCC(=O)O	R10392	O([H])[H].C(/C(=O)O)(=C/C(=O)O)\CCCC(=O)O
O([H])[H].C(/C(=O)O)(=C/C(=O)O)\CCCC(=O)O	R10393	[C@@H](C(=O)O)([C@@H](O)C(O)=O)CCCC(=O)O
[C@@](O)(C(=O)O)(CC(=O)O)CCCCC(=O)O	R10394	[C@@H](C(=O)O)([C@@H](O)C(O)=O)CCCCC(=O)O
[C@@](O)(C(=O)O)(CC(=O)O)CCCCC(=O)O	R10395	O([H])[H].C(/C(=O)O)(=C/C(=O)O)\CCCCC(=O)O
O([H])[H].C(/C(=O)O)(=C/C(=O)O)\CCCCC(=O)O	R10396	[C@@H](C(=O)O)([C@@H](O)C(O)=O)CCCCC(=O)O
O([H])[H].C1=C(O)C2C(=O)C3C(O)=C([C@H](CCOC(=O)C)CO)C(O)=CC=3C(=O)C=2C=C1O	R10398	C(=O)(O)C.C1=C(O)C2C(=O)C3C(O)=C([C@H](CCO)CO)C(O)=CC=3C(=O)C=2C=C1O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C([C@H](CCOC(=O)C)CO)C(O)=CC=3C(=O)C=2C=C1O	R10399	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C4[C@H](CCOC(=O)C)[C@@H](O)OC4=CC=3C(=O)C=2C=C1O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C([C@H](CCO)CO)C(O)=CC=3C(=O)C=2C=C1O	R10400	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C1=C(O)C2C(=O)C3C(O)=C4[C@H](CCO)[C@@H](O)OC4=CC=3C(=O)C=2C=C1O
O([H])[H].C1=C(O)C2C(=O)C3C(O)=C4[C@H](CCOC(=O)C)[C@@H](O)OC4=CC=3C(=O)C=2C=C1O	R10401	C(=O)(O)C.C1=C(O)C2C(=O)C3C(O)=C4[C@H](CCO)[C@@H](O)OC4=CC=3C(=O)C=2C=C1O
C1=C(O)C2C(=O)C3C(O)=C4[C@H](CCO)[C@@H](O)OC4=CC=3C(=O)C=2C=C1O	R10402	O([H])[H].C1=C(O)C2C(=O)C3C(O)=C4[C@]5([H])CCO[C@]5([H])OC4=CC=3C(=O)C=2C=C1O
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O.C12O[C@@]3([H])OCC[C@@]3([H])C=1C1=C(C(=O)C3=C(O)C=CC=C3O1)C(O)=C2	R10403	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O.C12O[C@@]3([H])OCC[C@@]3([H])C=1C1=C(C(=O)C3=C(O)C=CC=C3O1)C(OC)=C2
N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](C[S+](C)CC[C@H](N)C(=O)[O-])O1)O	R10404	[C@H]1(N2C=NC3C(N)=NC=NC2=3)[C@H](O)[C@@H]([C@@H](CSCC[C@H](N)C(=O)O)O1)O
O(P(=O)(O)O)C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](N)C(=O)O	R10408	N([H])([H])[H].O(P(O)(=O)O)C[C@@H](O)[C@@H](O)CC(=O)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C(/C)(\CC/C=C(\C)/C)=C/CC/C(/C)=C/CO	R10412	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C(/C)(\CC/C=C(\C)/C)=C/CC/C(/C)=C/C=O
O=O.C(=O)(C(=O)O)CCC(O)=O.N1C[C@](C[C@H](N)C(=O)O)([H])NC1=N	R10413	C(=O)=O.OC(=O)CCC(=O)O.N1C[C@]([C@H](O)[C@H](N)C(=O)O)([H])NC1=N
O=O.C(=O)(C(=O)O)CCC(O)=O.N12C(C[C@]1([H])CC[C@H]2C(=O)O)=O	R10415	O([H])[H].C(=O)=O.OC(=O)CCC(=O)O.N12C(C[C@@]1([H])CC=C2C(=O)O)=O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.O([C@@H]1[C@@H]([C@@H](O)[C@H](O)[C@@H](CN)O1)O)[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O)O	R10417	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.[C@H]1([C@H]([C@@H](C([C@H](O1)O[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO)O)=O)O)O)CN
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C[C@H](Cl)C(=O)O	R10418	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C=C(Cl)C(=O)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.S([H])[H]	R10419	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.[S]
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C)[C@@H](O)C[C@@H]2O)O1)O	R10420	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)C[C@@H]2O)C)O1)O
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C)[C@@H](O)C[C@@H]2O)O1)O	R10421	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.N1(C=NC2C(=O)NC(N)=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@@H](C(=O)C[C@@H]2O)C)O1)O
[C@H]1(O)[C@H]([N+]2C=CC=C(C(=O)N)C=2)O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@@H](N3C4=NC=NC(N)=C4N=C3)[C@H](O)[C@@H]2O)[C@H]1O.C12CCC3(CCCC3C1CCC1C[C@@H](CCC21C)O)C	R10422	[H+].N1(C=NC2C(N)=NC=NC1=2)[C@H]1[C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@@H](O)[C@H]([C@H](N3C=CCC(C(=O)N)=C3)O2)O)O1)O.C12CCC3(CCCC3C1CCC1CC(CCC21C)=O)C
[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H]([N+]2=CC=CC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12CCC3(CCCC3C1CCC1C[C@@H](CCC21C)O)C	R10423	[H+].[C@H]1(O[C@@H]([C@@H](O)[C@H]1OP(=O)(O)O)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](O)[C@H]([C@H](N2C=CCC(C(=O)N)=C2)O1)O)N1C=NC2C(N)=NC=NC1=2.C12CCC3(CCCC3C1CCC1CC(CCC21C)=O)C
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)N)O1)O)N1C=CC(=O)NC1=O.O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CN)O2)[C@@H](N)C[C@H]1N	R10424	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.O([C@@H]1[C@@H]([C@@H](O)[C@H](O)[C@@H](CN)O1)O)[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O)O
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)N)O1)O)N1C=CC(=O)NC1=O.O[C@@H]1[C@H]([C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N)O	R10425	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)N)O)CO)O)N)O)O)CN
[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]2[C@H](O)[C@H]([C@H](O)[C@@H](CO)O2)N)O1)O)N1C=CC(=O)NC1=O.O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](N)C[C@H]1N	R10426	[C@@H]1([C@H](O)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O1)O)N1C=CC(=O)NC1=O.O([C@@H]1[C@@H]([C@@H](O)[C@H](O)[C@@H](CO)O1)N)[C@H]1[C@@H]([C@H]([C@H](N)C[C@@H]1N)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O)O
