OP(=O)(O)OP(=O)(O)O.O	R00004	OP(=O)(O)O
[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)OP(=O)(O)O)O)O)O.C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H]([C@@H]3O)O)O)O)O)O2)O)O)C(=O)N=C1N	R09670	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)N=C1N.[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)OP(=O)(O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H]([C@H]2O)OP(=O)(O)O)O)O)O)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@H](C(=O)NCCC(=O)NCCS)O	R09675	C1=NC2=C(N1)N=CN=C2N.CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O[C@@H]4[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O4)O)O)O)C(C(=O)NCCC(=O)NCCS)O
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O.COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O)O)O2	R09678	C(CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)[C@@H](C(=O)O)N.COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O)O)O2
O.C1CCN[C@@H](C1)C(=O)N	R09680	N.C1CCN[C@@H](C1)C(=O)O
C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@@H]1C(=C)CC[C@@H]2C(C)(C)CCC[C@@]12C	R09681	OP(=O)(O)OP(=O)(O)O.C=C[C@@]1(C)CC=C2[C@@H](CC[C@@H]3[C@@](C)(C)CCC[C@@]23C)C1
[C@@H]([C@H](C(=O)O)O)(C(=O)O)N	R09683	N.C(C(=O)C(=O)O)C(=O)O
C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@]1(C)[C@H](C)CC[C@]2(C)C(=CCC[C@@H]12)C	R09684	OP(=O)(O)OP(=O)(O)O.C=CC(=C)CC[C@]1(C)[C@H](C)CC[C@]2(C)C(=CCC[C@@H]12)C
C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C	R09685	OP(=O)(O)OP(=O)(O)O.C/C(=C\CC[C@H](C)[C@H]1CC[C@H](C)[C@H]2CCC(=C)C=C21)/C
O.C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C	R09686	OP(=O)(O)OP(=O)(O)O.C[C@]1(C)CCC[C@@]2(C)[C@H]1CC[C@@]34C[C@@H](CC[C@H]23)[C@@](C)(C4)O
C/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C	R09687	OP(=O)(O)OP(=O)(O)O.CC(C)C1C=CC(=C)CC1
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09688	C/C(=C\CC[C@@H](C)C1CC[C@@]2(C)C3CC=C4C(CC[C@@H](C4(C)C)O)[C@]3(C)CC[C@]12C)/C
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09689	C/C(=C\CC/C(=C\1/CC[C@@]2(C)C1CCC3[C@@]4(C)CC[C@@H](C(C)(C)C4CC[C@@]32C)O)/C)/C
C([C@@H]1[C@H]([C@@H](C(=O)CO1)O)O)O	R09694	O.C1=C(C(=O)CO[C@@H]1CO)O
C1=C(C(=O)CO[C@@H]1CO)O	R09695	C1=CC(=O)C(CO)(O)OC1
C([C@@H]1[C@H]([C@@H](C(=O)CO1)O)O)O	R09696	O.C1=CC(=O)C(CO)(O)OC1
CC(=O)N[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)O)O	R09697	O.C[C@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=CC(=O)NC3=O)O2)O)O)NC(=O)C)O
CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)OO	R09699	O.CCCCC/C=C\C=C\O/C=C/CCCCCCC(=O)O
C/C(=C\CC/C(=C/CC[C@](C)([C@@H]1CC[C@@H]2[C@@]3(C)CC[C@@H](C(C)(C)[C@@H]3CC[C@]21C)O)O)/C)/C	R09700	O.C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C
C/C(=C\CC[C@@](C)([C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]3[C@@]4(C)CC[C@@H](C(C)(C)[C@@H]4CC[C@]32C)O)O)/C	R09701	O.C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C
C=C[C@](C)(CC/C=C(\C)/C)O	R09702	O.C=CC(=C)CC/C=C(/C)\C
C1=C(C(=O)CO[C@@H]1CO)O	R09705	C1[C@@H](CO)OC=C(C1=O)O
C1=C[C@@H]([C@H](C(=C1)C(=O)O)N)O	R09707	C1=C[C@H]([C@@H](C(=O)C1)N)C(=O)O
C/C(=C\CC/C(=C/CO)/C)/C	R09708	C=C[C@](C)(CC/C=C(\C)/C)O
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09709	C/C(=C\CC/C(=C/CC[C@H](C)[C@@]1(C)CCC2=C1CC[C@H]3C(C)(C)[C@H](CC[C@]23C)O)/C)/C
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09710	CC1(C)CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](C(C)(C)[C@@H]5CC[C@]43C)O)C2=C1
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09711	CC1(C)CC[C@]2(C)CC[C@]3(C)C4=C(CC[C@@]3(C)C2C1)[C@@]5(C)CC[C@@H](C(C)(C)C5CC4)O
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C	R09712	C/C(=C\CCC(=C)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]3[C@@]4(C)CCCC(C)(C)[C@@H]4CC[C@]32C)/C
C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C	R09713	C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC[C@@H]1C(=CC[C@@H](C1(C)C)O)C)/C)/C)/C
C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C	R09714	C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@]1(C)[C@H](C)CC[C@]2(C)C(=CCC[C@@H]12)C
C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C	R09715	C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@]1(C)[C@@H](C)CC=C2[C@H]1CCCC2(C)C
[C@@H]([C@H](C(=O)O)O)(C(=O)O)N	R09717	C(C(=O)O)N.C(=O)C(=O)O
[C@@H]([C@@H](C(=O)O)O)(C(=O)O)N	R09718	C(C(=O)O)N.C(=O)C(=O)O
CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2.C/C(=C/CC/C(=C/CC/C(=C/C=C\C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C	R09719	CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O.C/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C
C(C[C@@](CC(=O)O)(C(=O)O)O)C(=O)O	R09720	C(CC(=O)O)[C@@H]([C@H](C(=O)O)O)C(=O)O
O.C/C(=C/C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)/C=C/[C@]2(C(=CC(=O)CC2(C)C)C)O	R09723	C([C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)O.C/C(=C/C(=O)O)/C=C/[C@]1(C(=CC(=O)CC1(C)C)C)O
O.CC1(C)[C@@H](/C=C(\Cl)/Cl)[C@@H]1C(=O)OCC2=CC=CC(=C2)OC3=CC=CC=C3	R09724	C1=CC=C(C=C1)OC2=CC(=CC=C2)CO.CC1(C)[C@@H](/C=C(\Cl)/Cl)[C@@H]1C(=O)O
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.C([C@@H]1C(=C([C@H]2[C@H](NC3=C(C(=O)N=C(N)N3)N2)O1)S)S)OP(=O)(O)O	R09726	OP(=O)(O)OP(=O)(O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]4C(=C([C@H]5[C@H](NC6=C(C(=O)N=C(N)N6)N5)O4)S)S
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O.CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@@H](CO)O2)O)OC4([C@@H]([C@H]([C@H]([C@@H]([C@H](CO)N)O4)O)O)O)O3)O)N	R09729	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)O.CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O[C@H]2[C@@H]3[C@H]([C@H]([C@@H](CO)O2)O)OC4([C@@H]([C@H]([C@H]([C@@H]([C@H](CO)N)O4)O)O)O)O3)O)N
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O3)O)O)O)O2)O)O)C(=O)NC1=O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C	R09732	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O4)O)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C	R09733	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C
C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O4)O)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C	R09734	C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O.C/C(=C\CC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O4)O[C@H]5[C@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)O)O)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C
C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]4C(=C([C@H]5[C@H](NC6=C(C(=O)N=C(N)N6)N5)O4)S)S.[Mo](=O)(=O)(O)O	R09735	O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)OP(=O)(O)O.C([C@@H]1C2=C([C@H]3[C@H](NC4=C(C(=O)N=C(N)N4)N3)O1)S[Mo](=O)(=O)S2)OP(=O)(O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CCCC(=O)[O-]	R09738	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C/C=C/C(=O)[O-]
CC1(C)[C@@H]2CC[C@]3(C)[C@H](CC[C@@H]4[C@H]5[C@@H](CC[C@]5(C)CC[C@]43C)C(C)(C)O)[C@@]2(C)CC[C@@H]1O	R09743	O.C/C(=C\CC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@H]1C(C)(C)O1)/C)/C)/C
CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2.C/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C	R09744	CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O.C/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C
CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2.C/C(=C/CC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C	R09745	CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O.C/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C
CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2.C/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/CC/C=C(\C)/C)/C)/C)/C	R09746	CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O.C/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/C)/C)/C)/C
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@H](N5C=NC6=C5N=CN=C6N)O4)O)O)O)O)O	R09748	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O)O)O)C6=NC(=O)NC(=O)C6=N2
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H](C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OC[C@H]([C@H]([C@H](CN1C2=CC(=CC=C2CC3=C1NC(=O)NC3=O)O)O)O)O	R09749	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.C[C@@H](C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OC[C@H]([C@H]([C@H](CN1C2=C(C=CC(=C2)O)C=C3C1=NC(=O)NC3=O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC1=C(C)C=C2C(=C1)NC3=C(NC(=O)NC3=O)N2C[C@@H]([C@@H]([C@@H](CO)O)O)O	R09750	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)O)O)O2)O)O.CC1=CC2=C(C=C1C)N(C[C@@H]([C@@H]([C@@H](CO)O)O)O)C3=NC(=O)NC(=O)C3=N2
OP(=O)(O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(N3C=NC4=C3N=C(N)NC4=O)O2)O)O)O)O)O)O	R09752	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O.C([C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N)NC3=O)O1)O)O)OP(=O)(O)OP(=O)(O)O
C1=CN(C2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H]([C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](C1)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O6)O)O)O	R09753	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H]([C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](C1)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O6)O)O)O[C@H]7[C@@H]([C@H]([C@H]([C@@H](CO)O7)O)O)O
C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(N3C=CC(=O)NC3=O)O2)O)O)O)O)O.CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@@H]([C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](C1)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O6)O)O)O[C@H]7[C@@H]([C@H]([C@H]([C@@H](CO)O7)O)O)O	R09754	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@@H](CO)O[C@H]2O[C@@H]3[C@H]([C@@H]([C@@H](C(=O)O)O[C@H]3O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C7[C@@H]8CC(C)(C)C[C@H]([C@]8(C)CC[C@]76C)O)[C@@]4(C)CO)O)O)O)O)O)O)O
C1=C[N+](=CC(=C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)CC[C@H](CO)C1=C(C2=C(C=C1O)C(=O)C3=CC(=CC(=C3C2=O)O)O)O	R09756	[H+].C1=CN(C=C(C1)C(=O)N)[C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=NC5=C4N=CN=C5N)O3)OP(=O)(O)O)O)O2)O)O.CC(=O)CC[C@H]1C2=C(C3=C(C=C2O[C@@H]1O)C(=O)C4=CC(=CC(=C4C3=O)O)O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O)/C=C/C=C(\C)/C(=O)O	R09757	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)/C=C/C=C(\C)/C(=O)O
C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)O2)O)O)C(=O)NC1=O.C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)/C=C/C=C(\C)/C(=O)O	R09758	C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)O)O2)O)O)C(=O)NC1=O.C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)/C=C/C=C(\C)/C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O
